Year,Area,CancerType,AgeAdjustedRate,lci,uci,CaseCount,Population
2004,West Virginia,Leukemias,14.3,12.7,16,306,1816438
2004,Wisconsin,Leukemias,14.9,13.9,15.9,862,5514026
2005,Wyoming,Leukemias,7,4.9,9.7,37,514157
2005,Hawaii,Leukemias,9.4,7.8,11.2,127,1292729
2005,Arizona,Leukemias,9.9,9.1,10.7,589,5839077
2005,Arkansas,Leukemias,10.6,9.4,11.8,317,2781097
2005,Maryland,Leukemias,9.9,9,10.7,541,5592379
2005,Alabama,Leukemias,11.4,10.5,12.4,545,4565917
2005,Virginia,Leukemias,10.9,10.1,11.7,800,7577105
2005,California,Leukemias,12.3,11.9,12.7,4086,35827943
2005,Connecticut,Leukemias,12.5,11.3,13.7,472,3506956
2005,District of Columbia,Leukemias,12.1,9.4,15.4,69,567136
2005,Georgia,Leukemias,12.6,11.8,13.5,990,8925922
2005,Massachusetts,Leukemias,12.1,11.3,13,835,6403290
2005,Mississippi,Leukemias,11.7,10.5,13,337,2876229
2005,Ohio,Leukemias,12.1,11.5,12.7,1485,11463320
2005,Oregon,Leukemias,12.2,11.1,13.3,471,3613202
2005,Tennessee,Leukemias,12.3,11.4,13.2,750,5991057
2005,Vermont,Leukemias,12.3,9.8,15.4,83,621215
2005,Colorado,Leukemias,13.3,12.2,14.5,555,4631888
2005,Illinois,Leukemias,13.8,13.1,14.5,1734,12609903
2005,Indiana,Leukemias,13.4,12.5,14.4,852,6278616
2005,Kansas,Leukemias,13.8,12.5,15.3,398,2745299
2005,Louisiana,Leukemias,12.6,11.6,13.7,541,4411396
2005,Missouri,Leukemias,13.8,12.8,14.7,850,5790300
2005,Nevada,Leukemias,13.1,11.6,14.7,302,2432143
2005,New Jersey,Leukemias,13.6,12.8,14.4,1236,8651974
2005,North Carolina,Leukemias,13.8,13,14.6,1203,8705407
2005,Pennsylvania,Leukemias,13.7,13.1,14.3,1977,12449990
2005,South Carolina,Leukemias,13.3,12.2,14.4,576,4270150
2005,South Dakota,Leukemias,12.6,10.3,15.3,107,775493
2005,Alaska,Leukemias,15.4,12,19.6,81,666946
2005,Delaware,Leukemias,14.9,12.4,17.6,132,845150
2005,Florida,Leukemias,14.5,14,15,3148,17842038
2005,Idaho,Leukemias,14.7,12.7,16.9,200,1428241
2005,Iowa,Leukemias,15.8,14.4,17.2,539,2964454
2005,Kentucky,Leukemias,14.5,13.4,15.7,620,4182742
2005,Maine,Leukemias,16.3,14.3,18.5,248,1318787
2005,Michigan,Leukemias,14.8,14.1,15.6,1533,10051137
2005,Minnesota,Leukemias,15.5,14.4,16.6,797,5119598
2005,Montana,Leukemias,16.3,13.9,19,170,940102
2005,Nebraska,Leukemias,15.4,13.7,17.4,287,1761497
2005,New Hampshire,Leukemias,14.7,12.7,16.9,198,1298492
2005,New Mexico,Leukemias,14.5,12.8,16.3,281,1932274
2005,New York,Leukemias,14.5,13.9,15,2918,19132610
2005,North Dakota,Leukemias,17.8,14.8,21.3,128,646089
2005,Oklahoma,Leukemias,14.7,13.5,16,550,3548597
2005,Rhode Island,Leukemias,14.7,12.5,17.1,172,1067916
2005,Texas,Leukemias,14.5,13.9,15,2893,22773020
2005,Utah,Leukemias,14.3,12.6,16.1,280,2457719
2005,Washington,Leukemias,14.9,14,15.9,912,6257305
2005,West Virginia,Leukemias,15,13.4,16.8,316,1820492
2005,Wisconsin,Leukemias,16,15,17.1,933,5546166
2006,District of Columbia,Leukemias,8.7,6.4,11.5,48,570681
2006,Wyoming,Leukemias,9.4,7,12.3,54,522667
2006,Alabama,Leukemias,10.1,9.3,11.1,497,4628981
2006,Maryland,Leukemias,10.3,9.5,11.2,572,5627367
2006,Arkansas,Leukemias,11.6,10.4,12.9,356,2821761
2006,Hawaii,Leukemias,11.1,9.4,13,158,1309731
2006,Louisiana,Leukemias,11.5,10.5,12.6,492,4302665
2006,Mississippi,Leukemias,11.6,10.4,13,340,2904978
2006,Virginia,Leukemias,11.4,10.7,12.2,855,7673725
2006,Arizona,Leukemias,11.8,10.9,12.7,726,6029141
2006,California,Leukemias,12.5,12.1,12.9,4210,36021202
2006,Delaware,Leukemias,11.7,9.6,14.2,108,859268
2006,Georgia,Leukemias,12.6,11.8,13.4,1023,9155813
2006,Massachusetts,Leukemias,12.6,11.8,13.5,867,6410084
2006,Ohio,Leukemias,12.2,11.6,12.9,1508,11481213
2006,Oregon,Leukemias,12.1,11,13.3,474,3670883
2006,Colorado,Leukemias,13.3,12.2,14.4,571,4720423
2006,Connecticut,Leukemias,13.6,12.4,14.8,531,3517460
2006,Indiana,Leukemias,13.8,12.9,14.7,891,6332669
2006,Kansas,Leukemias,13.4,12.1,14.8,391,2762931
2006,Kentucky,Leukemias,13,11.9,14.1,565,4219239
2006,Nevada,Leukemias,12.7,11.3,14.2,304,2522658
2006,New Hampshire,Leukemias,13.8,11.9,15.9,188,1308389
2006,New Mexico,Leukemias,13.1,11.6,14.8,263,1962137
2006,North Carolina,Leukemias,13.3,12.5,14,1195,8917270
2006,South Carolina,Leukemias,13,12,14.1,583,4357847
2006,Tennessee,Leukemias,13,12.1,13.9,821,6088766
