Year,Area,CancerType,AgeAdjustedRate,lci,uci,CaseCount,Population
2003,New York,Melanomas of the Skin,12.2,11.7,12.7,2434,19175939
2003,Tennessee,Melanomas of the Skin,10.9,10.1,11.8,656,5847812
2003,Alabama,Melanomas of the Skin,13.6,12.5,14.7,632,4503491
2003,Illinois,Melanomas of the Skin,13.6,13,14.3,1695,12556006
2003,Mississippi,Melanomas of the Skin,12.8,11.5,14.2,363,2868312
2003,Missouri,Melanomas of the Skin,13.1,12.2,14,772,5709403
2003,North Dakota,Melanomas of the Skin,13.5,10.9,16.6,92,638817
2003,South Dakota,Melanomas of the Skin,14.6,12,17.5,116,763729
2003,Alaska,Melanomas of the Skin,15.1,11.7,19,85,648414
2003,Hawaii,Melanomas of the Skin,15.8,13.7,18.1,211,1251154
2003,Iowa,Melanomas of the Skin,16.4,15,17.9,519,2941999
2003,Nebraska,Melanomas of the Skin,15.7,13.9,17.6,280,1738643
2003,North Carolina,Melanomas of the Skin,16.7,15.9,17.6,1424,8422501
2003,Ohio,Melanomas of the Skin,16.2,15.5,17,1943,11434788
2003,Texas,Melanomas of the Skin,14.9,14.4,15.5,2914,22030931
2003,Virginia,Melanomas of the Skin,16.4,15.4,17.3,1203,7366977
2003,West Virginia,Melanomas of the Skin,15.8,14.1,17.7,328,1812295
2003,Wisconsin,Melanomas of the Skin,14.7,13.7,15.7,831,5479203
2003,California,Melanomas of the Skin,18.3,17.8,18.8,5974,35253159
2003,Colorado,Melanomas of the Skin,18.9,17.6,20.3,795,4528732
2003,Delaware,Melanomas of the Skin,19.4,16.6,22.6,165,818003
2003,Florida,Melanomas of the Skin,18.2,17.6,18.8,3692,17004085
2003,Georgia,Melanomas of the Skin,20.6,19.6,21.6,1626,8622793
2003,Indiana,Melanomas of the Skin,17.6,16.6,18.7,1094,6196638
2003,Kansas,Melanomas of the Skin,18.7,17.1,20.4,517,2723004
2003,Kentucky,Melanomas of the Skin,20,18.7,21.4,850,4117170
2003,Maryland,Melanomas of the Skin,19.4,18.3,20.6,1065,5496269
2003,Michigan,Melanomas of the Skin,19.1,18.2,20,1942,10041152
2003,Minnesota,Melanomas of the Skin,17.9,16.7,19.1,904,5053572
2003,Montana,Melanomas of the Skin,17.7,15.2,20.6,172,919630
2003,Nevada,Melanomas of the Skin,19.2,17.4,21.2,421,2248850
2003,New Jersey,Melanomas of the Skin,19.1,18.2,20,1720,8601402
2003,New Mexico,Melanomas of the Skin,17.5,15.6,19.5,323,1877574
2003,Oklahoma,Melanomas of the Skin,17.5,16.1,18.9,632,3504892
2003,Pennsylvania,Melanomas of the Skin,17.9,17.2,18.6,2458,12374658
2003,South Carolina,Melanomas of the Skin,20.5,19.1,21.9,870,4150297
2003,Wyoming,Melanomas of the Skin,18.8,15.2,23,96,503453
2003,Arizona,Melanomas of the Skin,21.1,19.9,22.3,1167,5510364
2003,Connecticut,Melanomas of the Skin,22.3,20.8,23.9,831,3484336
2003,Idaho,Melanomas of the Skin,24.2,21.6,27.1,314,1363380
2003,Maine,Melanomas of the Skin,22.5,20.1,25.1,326,1306513
2003,Massachusetts,Melanomas of the Skin,20.9,19.9,22.1,1422,6422565
2003,New Hampshire,Melanomas of the Skin,30.5,27.6,33.7,405,1279840
2003,Oregon,Melanomas of the Skin,21.8,20.3,23.4,811,3547376
2003,Rhode Island,Melanomas of the Skin,24.3,21.5,27.4,280,1071342
2003,Utah,Melanomas of the Skin,23.7,21.5,26,447,2360137
2003,Vermont,Melanomas of the Skin,33.3,28.9,38.1,216,617858
2003,Washington,Melanomas of the Skin,23.7,22.5,25,1436,6104115
2004,District of Columbia,Melanomas of the Skin,6.4,4.5,8.8,38,567754
2004,Louisiana,Melanomas of the Skin,12.6,11.5,13.7,561,4552238
2004,Alaska,Melanomas of the Skin,13.2,10.1,16.9,73,659286
2004,Arkansas,Melanomas of the Skin,13.8,12.4,15.2,401,2749686
2004,Mississippi,Melanomas of the Skin,13.9,12.6,15.4,400,2889010
2004,North Dakota,Melanomas of the Skin,14.5,11.7,17.7,97,644705
2004,Alabama,Melanomas of the Skin,15.4,14.3,16.6,734,4530729
2004,Arizona,Melanomas of the Skin,16.6,15.6,17.7,953,5652404
2004,Illinois,Melanomas of the Skin,14.7,14,15.4,1837,12589773
2004,Indiana,Melanomas of the Skin,16.1,15.1,17.1,1017,6233007
2004,Michigan,Melanomas of the Skin,17.3,16.5,18.1,1772,10055315
2004,Missouri,Melanomas of the Skin,16.8,15.8,17.9,1011,5747741
2004,Montana,Melanomas of the Skin,15.6,13.3,18.3,159,930009
2004,Nevada,Melanomas of the Skin,16.5,14.9,18.3,381,2346222
2004,New York,Melanomas of the Skin,14.7,14.2,15.3,2959,19171567
2004,South Dakota,Melanomas of the Skin,15.8,13.1,18.8,128,770396
2004,Texas,Melanomas of the Skin,14.7,14.1,15.2,2939,22394023
2004,Wisconsin,Melanomas of the Skin,15,14,16,864,5514026
2004,California,Melanomas of the Skin,19.8,19.3,20.3,6586,35574576
2004,Colorado,Melanomas of the Skin,20.1,18.8,21.5,878,4575013
2004,Florida,Melanomas of the Skin,18.6,18,19.2,3853,17415318
2004,Georgia,Melanomas of the Skin,20.6,19.6,21.7,1666,8769252
2004,Iowa,Melanomas of the Skin,17.6,16.2,19.2,562,2953635
2004,Kansas,Melanomas of the Skin,19.2,17.6,20.9,533,2734373
2004,Maryland,Melanomas of the Skin,18.7,17.5,19.9,1042,5546935
2004,Minnesota,Melanomas of the Skin,19,17.8,20.3,975,5087713
2004,Nebraska,Melanomas of the Skin,17.6,15.7,19.7,314,1749370
2004,New Mexico,Melanomas of the Skin,17.4,15.6,19.4,330,1903808
2004,North Carolina,Melanomas of the Skin,18,17.1,18.9,1561,8553152
2004,Ohio,Melanomas of the Skin,17.7,17,18.5,2122,11452251
2004,Oklahoma,Melanomas of the Skin,17.9,16.6,19.4,649,3525233
2004,Pennsylvania,Melanomas of the Skin,17.5,16.8,18.2,2426,12410722
2004,Tennessee,Melanomas of the Skin,19.2,18.1,20.3,1176,5910809
2004,Virginia,Melanomas of the Skin,17.6,16.6,18.5,1316,7475575
2004,West Virginia,Melanomas of the Skin,19.5,17.6,21.5,410,1816438
2004,Connecticut,Melanomas of the Skin,22.4,20.9,23.9,853,3496094
2004,Delaware,Melanomas of the Skin,22.2,19.2,25.6,193,830803
