County,Stroke_IR
"Brown County, Texas",92.20
"Brown County, Wisconsin",69.50
"Brule County, South Dakota",67.30
"Brunswick County, North Carolina",84.50
"Brunswick County, Virginia",111.80
"Bryan County, Georgia",84.10
"Bryan County, Oklahoma",83.10
"Buchanan County, Iowa",53.70
"Buchanan County, Missouri",98.40
"Buchanan County, Virginia",62.20
"Buckingham County, Virginia",65.30
"Bucks County, Pennsylvania",65.00
"Buena Vista City County, Virginia",69.50
"Buena Vista County, Iowa",73.50
"Buffalo County, Nebraska",61.20
"Buffalo County, South Dakota",70.90
"Buffalo County, Wisconsin",73.10
"Bullitt County, Kentucky",63.40
"Bulloch County, Georgia",99.10
"Bullock County, Alabama",104.60
"Buncombe County, North Carolina",80.50
"Bureau County, Illinois",70.00
"Burke County, Georgia",88.30
"Burke County, North Carolina",93.50
"Burke County, North Dakota",70.90
"Burleigh County, North Dakota",64.90
"Burleson County, Texas",71.50
"Burlington County, New Jersey",67.70
"Burnet County, Texas",69.60
"Burnett County, Wisconsin",74.30
"Burt County, Nebraska",53.10
"Butler County, Alabama",114.50
"Butler County, Iowa",58.20
"Butler County, Kansas",79.50
"Butler County, Kentucky",87.60
"Butler County, Missouri",104.40
"Butler County, Nebraska",64.70
"Butler County, Ohio",84.20
"Butler County, Pennsylvania",70.00
"Butte County, California",78.10
"Butte County, Idaho",58.80
"Butte County, South Dakota",55.10
"Butts County, Georgia",99.60
"Cabarrus County, North Carolina",85.50
"Cabell County, West Virginia",100.10
"Barceloneta Municipio County, Puerto Rico",51.90
"Cache County, Utah",75.00
"Caddo County, Oklahoma",81.60
"Caddo Parish County, Louisiana",92.70
"Barranquitas Municipio County, Puerto Rico",61.50
"Calaveras County, California",76.30
"Calcasieu Parish County, Louisiana",124.00
"Caldwell County, Kentucky",98.40
"Caldwell County, Missouri",86.60
"Caldwell County, North Carolina",82.00
"Caldwell County, Texas",70.30
"Caldwell Parish County, Louisiana",67.40
"Caledonia County, Vermont",55.50
"Calhoun County, Alabama",85.50
"Calhoun County, Arkansas",102.70
"Calhoun County, Florida",70.30
"Calhoun County, Georgia",88.30
"Calhoun County, Iowa",69.10
"Calhoun County, Illinois",61.90
"Calhoun County, Michigan",69.30
"Calhoun County, Mississippi",109.80
"Calhoun County, South Carolina",99.00
"Calhoun County, Texas",77.70
"Calhoun County, West Virginia",82.30
"Callahan County, Texas",83.40
"Callaway County, Missouri",70.50
"Calloway County, Kentucky",92.80
"Calumet County, Wisconsin",66.20
"Calvert County, Maryland",68.00
"Camas County, Idaho",47.40
"Cambria County, Pennsylvania",70.30
"Camden County, Georgia",60.70
"Camden County, Missouri",82.90
"Camden County, North Carolina",72.10
"Camden County, New Jersey",73.50
"Cameron County, Pennsylvania",67.30
"Cameron County, Texas",55.20
"Cameron Parish County, Louisiana",96.60
"Camp County, Texas",99.00
"Campbell County, Kentucky",73.70
"Campbell County, South Dakota",48.40
"Campbell County, Tennessee",89.40
"Campbell County, Virginia",75.80
"Campbell County, Wyoming",57.60
"Bayamon Municipio County, Puerto Rico",46.40
"Canadian County, Oklahoma",83.50
"Candler County, Georgia",112.70
"Cannon County, Tennessee",87.60
"Cabo Rojo Municipio County, Puerto Rico",49.40
"Canyon County, Idaho",70.30
"Cape Girardeau County, Missouri",68.00
"Cape May County, New Jersey",79.50
"Carbon County, Montana",63.60
"Carbon County, Pennsylvania",63.80
"Carbon County, Utah",79.30
"Carbon County, Wyoming",62.00
"Caribou County, Idaho",84.80
"Carlisle County, Kentucky",80.60
"Carlton County, Minnesota",69.00
"Caguas Municipio County, Puerto Rico",48.80
"Caroline County, Maryland",80.00
"Caroline County, Virginia",66.30
"Carroll County, Arkansas",76.00
"Carroll County, Georgia",95.70
"Carroll County, Iowa",73.90
"Carroll County, Illinois",70.50
"Carroll County, Indiana",75.00
"Carroll County, Kentucky",85.30
"Carroll County, Maryland",88.80
"Carroll County, Missouri",79.40
"Carroll County, Mississippi",121.30
"Carroll County, New Hampshire",56.60
"Carroll County, Ohio",72.40
"Carroll County, Tennessee",113.40
"Carroll County, Virginia",74.50
"Carson City County, Nevada",67.60
"Carson County, Texas",72.60
